no gesture, no gesture,  4.861224412918091
left-right, left-right, 8.207236766815186
no gesture, no gesture, 10.01458740234375
push-pull, push-pull, 13.095709800720215
no gesture, no gesture, 14.882381916046143
left-right, left-right, 17.97243881225586
no gesture, no gesture, 19.780381202697754
push-pull, push-pull, 23.397680521011353
no gesture, no gesture, 24.931417226791382
left-right, left-right, 29.048572778701782
no gesture, no gesture, 30.858515977859497
push-pull, push-pull, 33.9437837600708
