no gesture, no gesture, 4.892404079437256
left-right, left-right, 7.719492673873901
no gesture, no gesture, 9.517529726028442
push-pull, push-pull, 12.576487064361572
no gesture, no gesture, 14.620606184005737
left-right, left-right, 17.69966220855713
no gesture, no gesture, 19.486583471298218
push-pull, push-pull, 22.82764172554016
no gesture, no gesture, 24.62467360496521
left-right, left-right, 27.694664239883423
no gesture, no gesture, 29.491729259490967
push-pull, push-pull, 32.58672761917114
no gesture, no gesture, 34.36777687072754
