no gesture, no gesture, 4.853602409362793
left-right, left-right, 8.194812536239624
no gesture, no gesture, 9.992595911026001
push-pull, push-pull, 13.080691576004028
no gesture, no gesture, 14.870624542236328
left-right, left-right, 17.96167778968811
no gesture, no gesture, 19.497663974761963
push-pull, push-pull, 22.846673488616943
no gesture, no gesture, 24.65178918838501
left-right, left-right, 27.97374701499939
no gesture, no gesture, 29.51291799545288
push-pull, push-pull, 33.088897705078125
no gesture, no gesture, 34.881855487823486
